LearningStyle,CareerGoal,Preferences,AcademicLevel,Module,Cours_Recommandé
Kinesthésique,DevOps Engineer,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Software Architect,Mathématiques,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Sécurité,Master 1,Développement Web,React.js et Node.js
Auditif,DevOps Engineer,Systèmes embarqués,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Sécurité,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,DevOps Engineer,IA,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Software Architect,Programmation,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cybersecurity Expert,Programmation,Master 2,Cloud Computing,AWS Solutions Architect
Visuel,Data Scientist,Programmation,Licence 3,Cloud Computing,AWS Solutions Architect
Visuel,Cloud Engineer,Systèmes embarqués,Master 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,DevOps Engineer,Sécurité,Licence 2,Développement Web,React.js et Node.js
Visuel,Data Scientist,Programmation,Licence 2,Développement Web,React.js et Node.js
Auditif,DevOps Engineer,Mathématiques,Master 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,DevOps Engineer,Systèmes embarqués,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,DevOps Engineer,IA,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Mathématiques,Licence 3,Développement Web,React.js et Node.js
Visuel,DevOps Engineer,Systèmes embarqués,Master 2,Cloud Computing,AWS Solutions Architect
Kinesthésique,Cloud Engineer,Sécurité,Licence 2,Développement Web,React.js et Node.js
Auditif,Data Scientist,Sécurité,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Data Scientist,Mathématiques,Master 1,Cloud Computing,AWS Solutions Architect
Auditif,Cloud Engineer,Mathématiques,Licence 2,Développement Web,React.js et Node.js
Lecture/Écriture,Software Architect,IA,Master 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,Systèmes embarqués,Licence 3,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,IA,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,Sécurité,Master 2,Développement Web,React.js et Node.js
Lecture/Écriture,Software Architect,IA,Licence 2,Cloud Computing,AWS Solutions Architect
Kinesthésique,Cloud Engineer,Mathématiques,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Data Scientist,Programmation,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Programmation,Licence 2,Développement Web,React.js et Node.js
Lecture/Écriture,Cybersecurity Expert,IA,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Data Scientist,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,DevOps Engineer,Programmation,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cloud Engineer,IA,Master 2,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,IA,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cloud Engineer,Programmation,Licence 2,Développement Web,React.js et Node.js
Auditif,Data Scientist,Programmation,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Data Scientist,Mathématiques,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Data Scientist,Programmation,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,Sécurité,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Data Scientist,Systèmes embarqués,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,IA,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cybersecurity Expert,Sécurité,Licence 3,Développement Web,React.js et Node.js
Visuel,Data Scientist,IA,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Software Architect,Sécurité,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Mathématiques,Master 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Software Architect,IA,Licence 1,Développement Web,React.js et Node.js
Auditif,DevOps Engineer,Programmation,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Software Architect,IA,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cloud Engineer,Mathématiques,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Mathématiques,Licence 3,Développement Web,React.js et Node.js
Visuel,Cloud Engineer,Sécurité,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Sécurité,Licence 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,DevOps Engineer,IA,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Visuel,DevOps Engineer,Mathématiques,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,DevOps Engineer,Systèmes embarqués,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,Sécurité,Licence 1,Cloud Computing,AWS Solutions Architect
Visuel,Cloud Engineer,IA,Master 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,Software Architect,Programmation,Licence 3,Développement Web,React.js et Node.js
Auditif,Software Architect,Programmation,Licence 2,Cloud Computing,AWS Solutions Architect
Visuel,DevOps Engineer,IA,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Mathématiques,Licence 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cybersecurity Expert,Sécurité,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cloud Engineer,Programmation,Master 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,Sécurité,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,Systèmes embarqués,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,DevOps Engineer,Mathématiques,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Data Scientist,IA,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cloud Engineer,Sécurité,Licence 1,Cloud Computing,AWS Solutions Architect
Visuel,DevOps Engineer,Systèmes embarqués,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,Cloud Engineer,IA,Licence 2,Développement Web,React.js et Node.js
Visuel,Cloud Engineer,IA,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Software Architect,Programmation,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cloud Engineer,Programmation,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cloud Engineer,Programmation,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Software Architect,Mathématiques,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Systèmes embarqués,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Software Architect,Systèmes embarqués,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,Mathématiques,Licence 2,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,IA,Master 2,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,Programmation,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,IA,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,Systèmes embarqués,Licence 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Sécurité,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Data Scientist,Programmation,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Data Scientist,Mathématiques,Licence 1,Développement Web,React.js et Node.js
Auditif,Cloud Engineer,Sécurité,Licence 3,Développement Web,React.js et Node.js
Auditif,Data Scientist,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,DevOps Engineer,Programmation,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cloud Engineer,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,DevOps Engineer,Programmation,Master 2,Cloud Computing,AWS Solutions Architect
Visuel,Cybersecurity Expert,Sécurité,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cybersecurity Expert,IA,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,DevOps Engineer,IA,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Sécurité,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cybersecurity Expert,Programmation,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Data Scientist,Programmation,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,DevOps Engineer,Systèmes embarqués,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,Mathématiques,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,Programmation,Master 2,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,IA,Licence 3,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,IA,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Data Scientist,Mathématiques,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
